"id"	"structure"	"dispo_id"	"season"	"season_year"	"dispo_type"	"site_code"	"lon"	"lat"	"local"	"campaign_start"	"campaign.end"	"campaign_duration"	"trap_night"	"trap_cat"
"525"	525	"PNRun OUEST"	"951-CCMR19-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330107.956	7669802.89	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	12	0
"526"	526	"PNRun OUEST"	"952-CCMR20-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330170.727	7670066.38	"Piste forestiere Maido"	"03/11/2016"	"29/12/2016"	56	8.5	0
"527"	527	"PNRun OUEST"	"952-CCMR20-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	330170.727	7670066.38	"Piste forestiere Maido"	"11/07/2016"	"31/10/2016"	112	8.5	0
"533"	533	"PNRun OUEST"	"1011-CGBR01-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	331989.03	7668470.44	"Planèze GBR"	"30/06/2016"	"31/10/2016"	123	105	1
"534"	534	"PNRun OUEST"	"1012-CGBR02-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	332961	7667054	"Planèze GBR"	"30/06/2016"	"31/10/2016"	123	114	0
"535"	535	"PNRun OUEST"	"1013-CGBR03-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	333613.734	7665097.24	"Planèze GBR"	"30/06/2016"	"31/10/2016"	123	109.5	1
"536"	536	"PNRun OUEST"	"1014-CGBR04-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	333051.284	7666872.9	"Planèze GBR"	"30/06/2016"	"31/10/2016"	123	110	5
"537"	537	"PNRun OUEST"	"1015-CGBR05-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	335280.591	7663308.37	"Planèze GBR"	"30/06/2016"	"31/10/2016"	123	111	0
"538"	538	"LIFE"	"1016-CGBR06-2017-2018-ETE"	"ETE"	"2017-2018"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"08/11/2017"	"09/04/2018"	152	87	1
"539"	539	"LIFE"	"1016-CGBR06-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"29/05/2017"	"28/08/2017"	91	59	0
"540"	540	"LIFE"	"1016-CGBR06-2016-2017-HIVER"	"HIVER"	"2016-2017"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"30/06/2016"	"31/10/2016"	123	115	1
"541"	541	"LIFE"	"1016-CGBR06-2018-2019-HIVER"	"HIVER"	"2018-2019"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"08/05/2018"	"25/09/2018"	140	75	0
"542"	542	"LIFE"	"1016-CGBR06-2018-2019-ETE"	"ETE"	"2018-2019"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"29/11/2018"	"24/04/2019"	146	63	1
"1044"	1044	"LIFE"	"1016-CGBR06-2019-2020-HIVER"	"HIVER"	"2019-2020"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"13/06/2019"	"23/09/2019"	102	30	0
"1063"	1063	"LIFE"	"1016-CGBR06-2019-2020-ETE"	"ETE"	"2019-2020"	"CAGE"	"GBR"	336397.011	7663508.02	"Sentier colonie GBR"	"13/11/2019"	"20/02/2020"	99	45	0
"1084"	1084	"PNRun OUEST"	"3398-CCMR01-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330537.861	7670690.27	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1085"	1085	"PNRun OUEST"	"3399-CCMR02-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330609.962	7670235.62	"Piste forestiere Maido"	"23/03/2017"	"27/04/2017"	35	32.5	0
"1086"	1086	"PNRun OUEST"	"3400-CCMR03-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	331136.231	7669983.36	"Piste forestiere Maido"	"23/03/2017"	"27/04/2017"	35	35	0
"1087"	1087	"PNRun OUEST"	"3401-CCMR04-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330867.506	7669268.36	"Piste forestiere Maido"	"23/03/2017"	"27/04/2017"	35	35	0
"1088"	1088	"PNRun OUEST"	"3402-CCMR05-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330404.713	7669412.77	"Piste forestiere Maido"	"23/03/2017"	"27/04/2017"	35	31.5	0
"1089"	1089	"PNRun OUEST"	"3403-CCMR06-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330635.012	7669036.58	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1090"	1090	"PNRun OUEST"	"3404-CCMR07-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330737.892	7668030.97	"Piste forestiere Maido"	"23/03/2017"	"27/04/2017"	35	35	0
"1091"	1091	"PNRun OUEST"	"3405-CCMR08-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330668.259	7667098.23	"Piste forestiere Maido"	"23/03/2017"	"27/04/2017"	35	33	2
"1092"	1092	"PNRun OUEST"	"3406-CCMR09-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330593.119	7666207.17	"Piste forestiere Maido"	"23/03/2017"	"27/04/2017"	35	31.5	0
"1093"	1093	"PNRun OUEST"	"3407-CCMR10-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329721.983	7665128.89	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1094"	1094	"PNRun OUEST"	"3408-CCMR11-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329703.893	7665936.62	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1095"	1095	"PNRun OUEST"	"3409-CCMR12-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329901.273	7665929.8	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1096"	1096	"PNRun OUEST"	"3411-CCMR14-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329616.007	7667154.96	"Piste forestiere Maido"	"23/03/2017"	"29/03/2017"	6	2	0
"1097"	1097	"PNRun OUEST"	"3412-CCMR15-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329934.941	7667151.6	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
